Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0402_1005Metric,149.0,-75.48,90.0,bottom
C2,100n,C_0402_1005Metric,148.0,-75.47,90.0,bottom
C3,1n,C_0402_1005Metric,150.9,-75.48,90.0,bottom
C4,100n,C_0402_1005Metric,152.0,-75.48,90.0,bottom
C5,0.1u,C_0402_1005Metric,136.93,-56.7,180.0,top
C6,0.1u,C_0402_1005Metric,143.6,-54.23,-90.0,top
C7,0.1u,C_0402_1005Metric,142.6,-54.23,-90.0,top
C8,4.7u,C_0402_1005Metric,139.22,-59.0,0.0,top
C9,100n,C_0402_1005Metric,145.08,-54.1,180.0,top
C10,100n,C_0402_1005Metric,140.92,-66.0,0.0,top
C11,100n,C_0402_1005Metric,144.82,-67.5,0.0,top
C12,100n,C_0402_1005Metric,139.27,-61.65,0.0,top
C13,100n,C_0402_1005Metric,139.22,-58.0,0.0,top
C14,100n,C_0402_1005Metric,149.52,-56.15,180.0,top
C15,100n,C_0402_1005Metric,125.47,-61.8,0.0,top
C16,100n,C_0402_1005Metric,141.6,-54.22,-90.0,top
C17,100n,C_0402_1005Metric,149.53,-57.15,180.0,top
C18,100n,C_0402_1005Metric,144.82,-66.5,0.0,top
C19,18p,C_0402_1005Metric,156.93,-53.6475,90.0,top
C20,18p,C_0402_1005Metric,156.93,-57.9975,-90.0,top
C21,4.7u,C_0402_1005Metric,139.2,-56.7,0.0,top
C22,100n,C_0402_1005Metric,159.8,-64.6,90.0,top
C23,2u,C_0805_2012Metric,119.0,-76.22,180.0,top
C24,47u,C_1206_3216Metric,123.375,-76.42,0.0,top
C25,2u,C_0805_2012Metric,162.25,-65.19,90.0,top
C26,47u,C_1206_3216Metric,164.55,-65.815,90.0,top
C27,1u,C_0805_2012Metric,158.95,-80.2,180.0,top
C28,1u,C_0805_2012Metric,162.45,-80.2,0.0,top
C29,1u,C_0805_2012Metric,165.3,-80.05,90.0,top
C30,10u,C_0805_2012Metric,169.85,-69.05,180.0,top
C31,1n,C_0402_1005Metric,139.0,-75.52,270.0,bottom
C32,100n,C_0402_1005Metric,138.0,-75.48,270.0,bottom
C33,1n,C_0402_1005Metric,148.0,-87.48,270.0,bottom
C34,100n,C_0402_1005Metric,149.0,-87.48,270.0,bottom
C35,1n,C_0402_1005Metric,141.05,-87.5,270.0,bottom
C36,100n,C_0402_1005Metric,140.0,-87.48,270.0,bottom
C37,100n,C_0402_1005Metric,142.49,-81.0,180.0,bottom
C38,100n,C_0402_1005Metric,142.48,-79.0,0.0,bottom
C39,100n,C_0402_1005Metric,142.49,-84.0,0.0,bottom
C40,100n,C_0402_1005Metric,142.5,-80.0,180.0,bottom
C41,100n,C_0402_1005Metric,142.49,-83.0,180.0,bottom
C42,100n,C_0402_1005Metric,142.49,-82.0,180.0,bottom
C43,100n,C_0402_1005Metric,142.49,-85.0,0.0,bottom
C44,100n,C_0402_1005Metric,146.52,-80.05,0.0,bottom
C45,100n,C_0402_1005Metric,146.52,-81.0,0.0,bottom
C46,100n,C_0402_1005Metric,146.52,-82.0,0.0,bottom
C47,100n,C_0402_1005Metric,146.52,-83.0,0.0,bottom
C48,100n,C_0402_1005Metric,145.48,-85.0,180.0,bottom
C49,100n,C_0402_1005Metric,145.45,-86.0,180.0,bottom
C50,100n,C_0402_1005Metric,135.0,-91.52,90.0,bottom
C51,100n,C_0402_1005Metric,154.47,-91.1,0.0,bottom
C52,100n,C_0402_1005Metric,150.1,-88.48,90.0,bottom
C53,100n,C_0402_1005Metric,152.4,-86.0,180.0,bottom
C54,100n,C_0402_1005Metric,137.48,-85.95,180.0,bottom
C55,100n,C_0402_1005Metric,142.85,-88.43,270.0,bottom
C56,100n,C_0402_1005Metric,136.67,-81.95,180.0,bottom
C57,100n,C_0402_1005Metric,140.48,-84.0,180.0,bottom
C58,100n,C_0402_1005Metric,146.05,-88.4,270.0,bottom
C59,100n,C_0402_1005Metric,149.05,-83.37,90.0,bottom
C60,100n,C_0402_1005Metric,134.62,-70.85,0.0,bottom
C61,100n,C_0402_1005Metric,150.67,-73.8,180.0,bottom
C62,100n,C_0402_1005Metric,151.52,-77.0,0.0,bottom
C63,100n,C_0402_1005Metric,143.15,-74.33,90.0,bottom
C64,100n,C_0402_1005Metric,146.15,-74.35,90.0,bottom
C65,100n,C_0402_1005Metric,144.68,-73.2,180.0,bottom
C66,100n,C_0402_1005Metric,138.63,-72.85,0.0,bottom
C67,100n,C_0402_1005Metric,154.63,-70.85,180.0,bottom
C68,100n,C_0402_1005Metric,152.72,-80.8,0.0,bottom
C69,100n,C_0402_1005Metric,144.63,-90.1,180.0,bottom
C70,100n,C_0402_1005Metric,140.15,-78.37,90.0,bottom
FB1,BLM18PG221SN1D,R_0603_1608Metric,137.575,-55.4,180.0,top
FB2,BLM18PG221SN1D,R_0603_1608Metric,137.575,-53.85,0.0,top
FB3,BLM18PG221SN1D,R_0603_1608Metric,170.0,-71.0,0.0,top
J1,Conn_02x21_Odd_Even,PinHeader_2x21_P1.27mm_Horizontal,130.51,-104.725,-90.0,top
J2,Conn_02x21_Odd_Even,PinHeader_2x21_P1.27mm_Horizontal,158.45,-104.725,-90.0,top
J4,USB3_B_Micro_Amphenol_GSB343K331HR,AMPHENOL_GSB343K331HR,144.45,-48.65,180.0,top
J5,Conn_02x05_Odd_Even,PinHeader_2x05_P2.54mm_Vertical,124.425,-50.575,-90.0,top
J6,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,129.95,-66.65,180.0,top
J7,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,169.2,-59.955,180.0,top
J8,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,166.0,-75.175,0.0,top
J9,Conn_01x02_Male,PinHeader_1x02_P2.54mm_Vertical,170.0,-75.125,180.0,top
R1,1.6k/1%,R_0402_1005Metric,145.06,-53.1,0.0,top
R2,10k,R_0402_1005Metric,136.51,-80.85,180.0,bottom
R3,10k,R_0402_1005Metric,120.15,-58.36,90.0,top
R4,10k,R_0402_1005Metric,130.65,-57.16,90.0,top
R5,10k,R_0402_1005Metric,152.85,-82.49,270.0,bottom
R6,10k,R_0402_1005Metric,150.85,-82.49,270.0,bottom
R7,10k,R_0402_1005Metric,149.55,-61.5,0.0,top
R8,10k,R_0402_1005Metric,126.25,-76.21,-90.0,top
R9,10k,R_0402_1005Metric,127.25,-76.21,90.0,top
R10,10k,R_0402_1005Metric,166.3,-64.45,-90.0,top
R11,100,R_0402_1005Metric,154.49,-83.0,180.0,bottom
R12,100,R_0402_1005Metric,154.49,-84.0,180.0,bottom
R13,100,R_0402_1005Metric,154.49,-85.0,180.0,bottom
R14,100,R_0402_1005Metric,154.49,-86.0,180.0,bottom
R15,100,R_0402_1005Metric,154.49,-87.0,180.0,bottom
R16,100,R_0402_1005Metric,154.49,-88.0,180.0,bottom
R17,100,R_0402_1005Metric,154.49,-89.0,180.0,bottom
R18,100,R_0402_1005Metric,154.49,-90.0,180.0,bottom
R19,100,R_0402_1005Metric,152.24,-90.2,180.0,bottom
R20,100,R_0402_1005Metric,154.49,-82.0,180.0,bottom
R21,100,R_0402_1005Metric,134.49,-90.0,0.0,bottom
R22,100,R_0402_1005Metric,134.51,-89.0,0.0,bottom
R23,100,R_0402_1005Metric,134.51,-88.0,0.0,bottom
R24,100,R_0402_1005Metric,134.51,-87.0,0.0,bottom
R25,100,R_0402_1005Metric,134.51,-86.0,0.0,bottom
R26,100,R_0402_1005Metric,134.51,-85.0,0.0,bottom
R27,100,R_0402_1005Metric,134.49,-84.0,0.0,bottom
R28,100,R_0402_1005Metric,134.51,-83.0,0.0,bottom
R29,100,R_0402_1005Metric,136.74,-90.2,0.0,bottom
R30,100,R_0402_1005Metric,134.49,-82.0,0.0,bottom
R31,10k,R_0402_1005Metric,167.35,-64.43,90.0,top
R32,10k,R_0402_1005Metric,176.69,-97.7,0.0,top
R33,10k,R_0402_1005Metric,176.69,-92.6,0.0,top
R34,10k,R_0402_1005Metric,176.69,-90.0,0.0,top
R35,10k,R_0402_1005Metric,176.71,-87.5,0.0,top
R36,10k,R_0402_1005Metric,176.69,-85.0,0.0,top
R37,10k,R_0402_1005Metric,176.69,-82.4,0.0,top
R38,10k,R_0402_1005Metric,176.69,-79.9,0.0,top
R39,10k,R_0402_1005Metric,176.69,-77.3,0.0,top
R40,10k,R_0402_1005Metric,176.69,-74.8,0.0,top
R41,10k,R_0402_1005Metric,176.69,-72.2,0.0,top
R42,10k,R_0402_1005Metric,176.69,-69.7,0.0,top
R43,10k,R_0402_1005Metric,176.69,-67.2,0.0,top
R44,10k,R_0402_1005Metric,176.69,-64.6,0.0,top
R45,10k,R_0402_1005Metric,176.69,-62.1,0.0,top
R46,10k,R_0402_1005Metric,176.69,-59.6,0.0,top
R47,10k,R_0402_1005Metric,176.79,-57.0,0.0,top
R48,10k,R_0402_1005Metric,176.79,-54.5,0.0,top
U4,W25Q16JVSNIQ,SOIC-8_5.23x5.23mm_P1.27mm,125.45,-58.4,0.0,top
